ID,USER,LIKES,DISLIKES,FOLLOWERS
4,mmcsporrin3,2459,2804,18143
6,bhutchence5,991,3295,11941
7,epetr6,826,2535,12388
9,mlumly8,792,3079,17420
11,bdurstona,1446,2820,14770
14,phigbind,1392,3395,13809
16,gpettettf,663,2637,17711
20,dgannanj,1239,2221,10778
23,zfurseym,538,2840,19263
24,asummersiden,643,2138,13803
26,pmingop,2347,2502,11098
29,gmerrgans,1252,2537,14966
35,cmarshamy,638,1149,12702
36,flagez,1428,1473,12306
37,loates10,666,3480,15021
39,jdeackes12,2269,2928,16775
42,kitzakovitz15,1132,3449,14765
43,tpfeffer16,1650,3070,14031
47,srowett1a,503,2034,15456
49,mboycott1c,1942,2807,12206
50,lbarribal1d,1256,2114,18587
51,jnorsworthy1e,2421,2839,17504
55,ctabour1i,1118,1631,11546
59,nkubicek1m,595,1914,17346
67,chintzer1u,808,3412,14308
70,jjosefsen1x,549,691,10300
72,mlorden1z,1602,2485,12699
74,bmarcus21,1340,2014,11587
75,agehringer22,2808,3401,17448
79,kklemencic26,1503,1849,10470
80,mvossgen27,1617,2833,12291
81,lnorcliff28,2037,2072,18189
86,choggin2d,641,1054,14886
87,dkeilty2e,1371,3125,19867
99,apetrecz2q,1330,2423,14169
