ID,USER,LIKES,DISLIKES,FOLLOWERS
12,acalcottb,3036,2169,19911
13,hfenlonc,3662,991,17034
15,dlabese,4816,1824,17672
21,emulqueenk,3814,3335,12188
28,rkinghornr,4121,1977,19953
30,kdalgarnot,3375,1427,16306
31,mmaxweellu,3941,729,14624
33,scroalw,3115,2382,12927
34,nlearnedx,3538,1932,11112
44,ojanu17,3550,2042,11150
45,jdressell18,3938,2818,13965
46,aferneyhough19,3930,2598,10188
48,ahodgins1b,3785,2445,10382
52,scawse1f,4528,708,19166
57,mchastaing1k,4102,2243,10290
58,kmeineken1l,4330,3272,11019
61,szupo1o,4280,1833,10053
68,svasin1v,3615,3230,17450
69,gletts1w,3096,2348,16518
73,cdmitrievski20,3695,1579,13093
76,mgerriet23,3195,954,16618
77,mlovatt24,3076,890,14797
82,rphilp29,3151,1856,16191
84,skingston2b,3009,497,12634
89,cgrimsdell2g,4377,3489,10321
91,wcluff2i,4057,3168,17890
93,dgoracci2k,3100,2810,11001
94,eearey2l,4864,2156,14687
95,tquartermaine2m,4899,486,15254
96,lkabsch2n,3420,2101,10584
98,cdarkott2p,4920,3309,13755
